種類,用紙名,メーカー,用途,斤量,キロ単価,A3ワイド単価,特徴,その他
上質紙,キンマリ,北越製紙,本文用紙,70,,50,,
上質紙,キンマリ,北越製紙,本文用紙,90,,60,,
上質紙,キンマリ,北越製紙,本文用紙,110,,70,,
書籍用紙,淡クリームキンマリ,北越製紙,本文用紙,70,,60,,
書籍用紙,淡クリームキンマリ,北越製紙,本文用紙,90,,70,,
書籍用紙,淡クリームキンマリ,北越製紙,本文用紙,110,,80,,
コート紙,トップコート,大王製紙,本文用紙,70,,60,,
コート紙,トップコート,大王製紙,本文用紙,90,,70,,
コート紙,トップコート,大王製紙,本文用紙,110,,80,,
マットコート紙,ミューマット,北越製紙,本文用紙,70,,70,,
マットコート紙,ミューマット,北越製紙,本文用紙,90,,80,,
マットコート紙,ミューマット,北越製紙,本文用紙,110,,90,,
